strategy,num_users,num_relays,mobility,time_horizon,iterations,total_utility,avg_delay,total_energy,fairness,prediction_error
stackelberg,20,9,1.0,1,3,1052.5163653668474,9.551908520223952,16.03817040447903,0.767703182731241,3.0372179675598145
stackelberg,20,9,1.0,1,2,1031.5457383531395,8.108334976512012,17.166699530240255,0.7534741782316529,3.347074759223557
stackelberg,20,9,1.0,1,15,1035.6984833869387,10.45547042174913,19.10940843498258,0.7467636308658421,1.9706890015669836
stackelberg,20,9,1.0,1,3,1044.0747863993242,8.84585533263684,16.917106652736734,0.7711170466191714,2.5592360816371027
stackelberg,20,9,1.0,1,2,1052.0964685594088,9.571836167849254,16.436723356985055,0.7566968803583284,2.38120716112376
stackelberg,20,9,1.0,1,4,1010.4397110381174,8.843792849724672,16.87585699449344,0.7502469419465324,3.0658976417701087
stackelberg,20,9,1.0,1,2,1010.4508552815854,8.834843271012328,16.696865420246585,0.7520249432760814,1.909643713411444
stackelberg,20,9,1.0,1,2,1002.2629896001398,8.86143680557498,17.228736111499572,0.745329310206065,1.903507650292158
stackelberg,20,9,1.0,1,2,1066.471709413136,10.305603907822078,16.11207815644159,0.7825526720768068,2.734601666723165
stackelberg,20,9,1.0,1,2,1000.1286140029636,8.102251340095583,17.045026801911654,0.7302826581348869,1.9785668416209319
stackelberg,20,9,1.0,1,2,986.7080730169903,8.126151677332476,17.523033546649515,0.7198716897961493,3.376383201787276
stackelberg,20,9,1.0,1,2,992.501998486197,8.123857079922978,17.47714159845954,0.7269501808081825,2.19507392456812
stackelberg,20,9,1.0,1,3,1019.3152984056634,8.86169844951314,17.233968990262824,0.7588678499373258,2.099529982251713
stackelberg,20,9,1.0,1,4,1035.016346385194,8.85594157835474,17.118831567094787,0.7386953741615367,2.9335511235146368
stackelberg,20,9,1.0,1,2,1004.5418099849893,8.836062185006458,16.72124370012919,0.7484272685473732,2.2967627983610415
stackelberg,20,9,1.0,1,3,999.643909471288,8.861211464665315,17.224229293306305,0.7564678592517665,2.3393051328366528
stackelberg,20,9,1.0,1,2,1007.3598217532563,8.833079485202907,16.661589704058155,0.7401232500481058,2.0530937823608824
stackelberg,20,9,1.0,1,2,1012.2505423464961,8.85205974279749,17.041194855949783,0.7426313914573216,2.035184848945268
stackelberg,20,9,1.0,1,2,1043.018190896923,9.57249520886534,16.449904177306774,0.754494930079391,1.8958205683894331
